Sensor_ID,Timestamp,Raw_Value,Auth_Signature
Sensor_Alpha,1773037623,24.99,18d9d277ba10acd37fc5f4ab791829b0b3de8c4625f75563b808f545874e2fed
Sensor_Alpha,1773037626,44.30,aad57f4e330e71deb453f81cd06e52bbd6e49da70dee9bd29e9f763c01a9735e
Sensor_Alpha,1773037628,27.34,c98bea8ab46747a91d30a4137e3f1484487100496e73fd6a0fc6fdf1489f5e77
Sensor_Alpha,1773037630,21.07,7eefcb2a32f5313b5388fdf89e60713040c508c65c39067970fae2fe59ebff42
Sensor_Alpha,1773037634,23.81,6fffc630960e0661f40d2c57ee51271a55f024161d76f574da49674bd1a3af88
Sensor_Alpha,1773037636,26.66,902562d3f1caf553f2a6f40dc383b8ca9ef6c444fd050b52b95c72f6ce2882b9
Sensor_Alpha,1773037641,37.64,dd484dd59a8f293c52b3ddcdbfe5c6555d1e5c1ed059c2989697dd279fbb8ff8
Sensor_Alpha,1773037645,39.53,9ac60579e1fcf0599a97f000a9be828f03c831e941759917278135b20e809648
Sensor_Alpha,1773037647,38.17,e1d2a74977608f1dd7cf35a8e15ea51a94bcb936a7525fe9bdaa4061dc151e69
Sensor_Alpha,1773037651,24.13,37358e9af0f13685013e337719c9ae02c7a174cabe1fbe7884e10cf3f564b37c
Sensor_Alpha,1773037656,36.67,48d60661a0d3fe67556b53413c53d9a5fed141db406d4b6b8d94541b273cb714
Sensor_Alpha,1773037659,37.85,139a8b92a67faf259f28d8de21778979d9b57acb06529bd168fd77dfb215ddb4
Sensor_Alpha,1773037664,35.74,1dbc35e327364b546370d48b817adddb54ab561a07183b9b3488d34319f86f9d
Sensor_Alpha,1773037666,41.36,0fa42de1804f3d78130d76ada9e83b9bff1fff911a6a1c6177786e0de2e8a895
Sensor_Alpha,1773037668,35.67,edd1c832b6fac61c5205b0368ee7dffe75860fc507fed1e1cdc78b29c309d501
Sensor_Alpha,1773037671,40.42,82135a54c30e177074e723cfc2026f10cd9daf04d84bfa36b85f40783634dc8c
Sensor_Alpha,1773037675,20.95,00b1abe63fd0842a4555e62d02a5c43b6952c29141e34b26273b5d44d601a0bb
Sensor_Alpha,1773037678,34.23,5451e391879431af841101dea6e570e551b4605955b2fd249abb5814beb32d50
Sensor_Alpha,1773037682,43.21,cd9025194871e0a72cb5a6071f86c6ef4350b1e98ef41e13bbd70ba2160b6667
Sensor_Alpha,1773037683,28.89,8165300481ef91d7c8f2e7bf1f0c75b57df6f9296085eba29bd453a06f4d2738
Sensor_Alpha,1773037685,22.38,c81bf5c2804ad8198237931a8ccb1deadf179fccf051cd75e8f6f977991a5313
Sensor_Alpha,1773037689,28.69,b66dd7fe6eacde014c5eb5f8b37d9b34e572d60f5b46a71316fc87b5460cd139
Sensor_Alpha,1773037691,20.57,4f461803a130b1a388484f1cb1b9c9b4383b3d16c28be11461578ededd14745e
Sensor_Alpha,1773037695,32.67,f2e84120ca5957df1967ad441c2886e5058cfc4ff525174fa20016a81ee0c993
Sensor_Alpha,1773037697,43.67,0329c664d9ff87b3a672e117c9fdab8b89668310455418b90c5b300c97345f01
Sensor_Alpha,1773037699,39.76,ee39a28b2c433804a39b0b61180f82708f7fecb563a212ab228a8f31bb7ee50a
Sensor_Alpha,1773037704,35.31,a1ab150c775df31c355ac5008e931638d467aefbb68e1ded3773cf14cd582165
Sensor_Alpha,1773037706,37.24,bdc43345e2934219ac29dddbb348838ad2e5819579b3c768ac740e513ff2f8c8
Sensor_Alpha,1773037708,43.38,6f348a89325fbf3f6b6b0811cad0778ca4460bc027163f5440dec086278881f3
Sensor_Alpha,1773037710,25.80,f44f7dd0443904b2d9623fab1ad699e85ee67c06b2228883ff25c40df5763093
Sensor_Alpha,1773037715,22.59,7ed91a6ccda0d7c857695d2fedb2c23f10fe7ba1850d83ffaaa07382cbe4d9bd
Sensor_Alpha,1773037718,22.83,eafc91edc9c650043a967bd4e7c8e43c3a8c8df29464e3c1af5cec7bc582496c
Sensor_Alpha,1773037719,44.47,ce4f657f51d0475f0e0a2d3d20cf791573a85b1f8cf9632e3a36db6c3c91aea2
Sensor_Alpha,1773037722,40.91,41b60ba7df6cd70d6bbaac5e9d98b48f2b7f795037c671c4100cabb00b0400a5
Sensor_Alpha,1773037723,36.42,2a1f7763bee70d21214558dc8740a6b02f16d914da80968df048274d647ed3db
Sensor_Alpha,1773037726,44.82,4b8ebedac71cd6e6e852b1b508f62f3beafb0c5488f90aca57403f48dd214b3d
Sensor_Alpha,1773037730,37.55,e6faf693f5b4354f4b18db5e6e5d27e217f6c4c764a2a2df324d97a31f166d88
Sensor_Alpha,1773037734,27.36,52a0dbd1bc29edc39beec88ba7b2e6fd206acb1096c6e11396e2dbdd29bd0b05
Sensor_Alpha,1773037739,41.52,cb9f9eaed5ef2f7c26225102186e446f629ef59fdead92e9ba1f56f25620cf89
Sensor_Alpha,1773037741,34.08,47dd97529b85efac4b734d1c29870a3f9e76f996c96d2b8dda337e2a54e1dacb
Sensor_Alpha,1773037742,21.01,bedcfe7dc330266aa1c01dba0e3783a813a11202bb8258815c3f36d437bee326
Sensor_Alpha,1773037745,24.75,f8d686655d04c36fd5e74f552dcb52b85b15942c9f6b4c8fc14e80869746c7af
Sensor_Alpha,1773037746,26.74,4aa990c0feac6b4a579c8f505304e77f1508ad96baea4d4c1fc58ec492684ad6
Sensor_Alpha,1773037750,28.84,83f41e53508211e8b3be7194d13f6b43dc7482254f7687fc335a4e77f87dd1cc
Sensor_Alpha,1773037753,26.03,4faa4d37f58cac6220027b0ddc46661b6deec44cad21ff83ac142c5001bc30da
Sensor_Alpha,1773037754,33.96,a436146902b889d2cab44c5c1a71d2a5dfe90ba00ab0908658f261c37501795d
Sensor_Alpha,1773037757,27.08,52fc27b4e985e631202eada186025c229e8da27433e9db29f07f887264e0ebe4
Sensor_Alpha,1773037762,31.15,3b257ace28bb53895cb6a6389dd577337459a80b1cabf1de11ff286fc5d35e17
Sensor_Alpha,1773037766,25.33,c335ff1d315219cc6265a906e073f7de66821c6c59d54d0e5ddef690b889a383
Sensor_Alpha,1773037771,30.73,06cc93482e2e357d0fdfcd568406487c352c305935a976e89fb8bb6c763f5810
Sensor_Alpha,1773037774,44.86,cdd1c23571a2506a3c6eee80c0dac1f91b3416ab5f053ddc42ac2543bf8eb45f
Sensor_Alpha,1773037776,20.16,b6dd5cd67179b515be6c0d3fcf2c1381ac769a01e2378faad57b02469641aa8c
Sensor_Alpha,1773037781,22.60,a0426025530f3f85604e857a07aa7753d62c19d14f70e88474bbd2a24b535a7b
